Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Hulu Sungai Tengah,29721,6032,6316,17373,99,0,0,2479,348,56,0,0,1388,131,1531,2590,58,923,73,174,422,1291,717,68,0,211,0,0,0,8,187,1682,18,100,3250,14,2370,0,0,64,0,14,798,54,5,2987,438,84,0,8,0,39,297,380,16,36,942,4,69,65,150,1,13,3,3066
Hulu Sungai Utara,25007,5407,7012,12588,76,0,7,1979,18,86,0,0,1131,205,1905,1944,51,1071,22,183,389,1099,2102,149,0,120,0,0,0,0,90,285,3,44,1747,0,1688,0,0,50,0,0,706,11,3,4275,136,11,0,0,50,6,4,42,1,34,521,24,63,27,132,0,0,0,2515
Tabalong,39708,10538,10516,18654,510,23,2,4364,359,46,0,0,3077,473,1684,3487,75,723,24,466,647,3212,1733,149,12,563,0,0,0,4,289,782,4,238,2154,19,4514,0,0,225,3,7,1281,117,77,3304,336,412,230,6,63,52,165,115,28,31,956,14,181,116,344,5,4,28,1987
Tanah Bumbu,36823,7785,10849,18189,238,23,0,3408,1044,22,10,13,814,214,1999,3162,194,754,23,175,1035,1747,3371,389,99,1263,0,0,0,89,412,3035,99,867,804,124,1859,0,0,226,193,86,549,365,62,1960,1096,1009,219,40,254,180,75,105,105,15,183,13,37,19,677,25,25,27,2092
Balangan,31500,8089,7395,16016,240,0,0,3025,136,110,0,23,1226,483,2846,3135,58,651,63,421,469,823,1677,98,7,346,0,0,0,0,288,1119,7,91,1949,101,3345,0,0,137,0,0,811,84,0,2322,304,68,0,2,13,30,125,143,4,52,1192,4,71,174,274,0,0,0,2960
Kota Banjarmasin,44145,12809,10782,20554,657,0,32,4930,256,38,239,10,1705,289,4653,3903,70,604,98,579,560,2772,2121,74,38,1242,0,0,0,12,140,1348,0,231,2240,12,2354,0,0,134,36,23,1700,194,48,1451,776,290,11,3,363,40,617,23,15,16,423,0,60,100,245,41,0,6,6360
Kota Banjar Baru,45776,14065,13079,18632,1359,0,163,5728,778,98,253,0,1509,490,3687,4353,29,278,77,1007,593,3583,3143,16,47,864,0,0,0,142,322,1569,7,241,1432,62,3811,0,0,485,71,0,1811,194,57,997,1080,428,40,71,8,33,435,90,41,46,374,4,33,106,360,11,11,45,3351
Paser,34486,7412,7958,19116,621,0,21,3684,1081,18,0,0,716,59,1212,3550,145,83,28,171,658,1808,1430,86,11,1409,0,0,0,46,1696,1602,106,2331,618,240,2143,0,0,282,1321,2,537,346,23,1703,1531,280,454,43,75,108,15,138,83,102,138,69,94,44,412,4,0,34,1087
Kutai Barat,49047,13460,12775,22812,444,0,2353,6478,1012,513,128,0,1147,324,1061,3796,262,22,10,299,941,2833,4384,228,31,1084,0,0,0,13,66,242,94,822,1344,226,3659,0,0,394,26,0,2208,255,110,7206,217,39,0,19,16,68,0,10,11,4,97,71,142,94,1211,5,0,96,2963
Kutai Kartanegara,34450,8775,9055,16620,644,0,20,3793,622,173,0,42,1872,134,1475,4173,173,139,10,343,757,2024,1399,37,88,2883,0,0,0,52,121,1020,98,751,1156,110,2408,0,0,909,273,104,992,223,58,2538,544,312,153,10,164,12,33,53,58,21,134,10,131,42,406,8,0,17,816
Kutai Timur,48116,13818,12092,22206,1549,0,364,6070,1092,575,42,3,2047,187,1889,4477,187,41,81,606,1226,3335,2106,33,543,3090,0,0,0,37,50,1511,367,2017,1256,58,2071,0,0,506,682,50,1351,382,26,2956,2000,757,227,44,65,70,7,21,275,69,116,8,230,74,529,15,39,10,1240
Berau,49697,13189,14612,21896,1385,162,261,5161,1517,261,219,65,1254,273,2631,5791,204,23,41,715,1421,3033,2874,510,231,2272,0,0,0,91,78,1869,401,1789,474,224,718,0,0,300,1661,121,408,124,24,4288,2782,514,305,170,180,83,40,17,229,36,0,32,18,110,815,94,0,18,1611
Penajam Paser Utara,32207,7393,9215,15599,443,0,1,3901,711,65,9,5,1154,153,951,3422,190,65,10,479,1138,1983,1840,89,27,1672,0,0,0,296,684,1451,242,1935,643,266,640,0,0,258,225,58,67,366,55,2445,1373,472,170,31,120,25,0,14,92,82,34,19,51,54,484,34,0,60,1181
Mahakam Ulu,56473,15882,13231,27360,44,12,5415,5696,2699,600,21,0,620,170,605,6130,224,73,0,93,1339,2793,2554,23,187,776,0,0,0,0,0,159,65,1170,868,213,4912,0,0,1198,137,227,6960,265,160,7764,500,158,9,285,5,5,0,3,29,0,145,1,91,65,857,26,0,50,257
Kota Balikpapan,44109,12639,12177,19293,776,0,136,6298,466,92,42,3,1275,172,3379,4156,190,27,55,1322,730,4111,1428,158,344,2338,0,0,0,142,911,1461,214,1402,117,125,880,0,0,583,847,118,189,124,33,4105,2192,874,494,46,43,33,0,65,85,25,128,0,37,254,162,7,0,8,1251
Kota Samarinda,40587,11595,10678,18314,675,0,83,4902,621,52,94,94,1427,329,3318,4470,184,56,105,505,596,2697,1653,412,182,2219,0,0,0,29,224,942,105,834,630,144,3042,0,0,667,277,80,1063,66,28,3238,1610,638,128,48,101,58,70,7,128,16,106,19,36,32,226,18,3,23,1459
Kota Bontang,47680,14156,12767,20757,1387,82,226,5724,836,261,333,86,1897,287,3037,4186,82,20,117,894,683,3918,2509,359,121,3534,0,0,0,320,155,1444,638,922,279,78,698,0,0,456,531,747,164,68,25,5610,1653,700,408,14,53,21,0,40,122,19,30,18,45,21,406,24,20,36,1458
Malinau,48658,16484,10456,21718,862,12,4840,5718,1208,1272,333,0,1082,75,1082,3733,193,39,12,337,1280,1370,3050,442,77,385,0,0,0,44,24,345,58,4678,416,880,759,0,0,406,456,83,2508,152,29,6037,1544,50,415,185,139,0,9,19,149,19,2,44,0,26,458,242,1,33,1123
Bulungan,40056,10340,9650,20066,656,0,780,5070,908,422,158,0,1223,190,933,4151,289,10,40,277,1340,2302,1115,125,281,1568,0,0,0,8,39,631,118,3708,295,594,135,0,0,148,1326,33,1116,205,109,4006,2861,97,450,224,202,0,8,0,39,0,17,28,8,219,1017,352,0,27,478
Tana Tidung,43498,8429,12362,22707,478,4,397,5656,217,229,10,0,502,17,919,4870,153,1,23,197,1537,2462,3000,118,0,527,0,0,0,64,1,358,109,4885,592,404,231,0,0,297,1565,225,275,85,39,4199,5189,3,146,88,811,65,0,1,93,0,3,116,8,31,1384,317,0,291,305
Nunukan,40745,10388,9366,20991,452,0,1751,4530,353,269,95,0,2231,10,697,3757,85,24,6,324,1459,1086,2625,0,268,1687,0,0,0,101,76,1644,242,5943,1170,408,357,0,0,923,963,62,217,178,0,2617,1273,643,141,26,50,0,0,37,198,0,0,77,0,4,1254,34,0,57,609
Kota Tarakan,46630,13236,10402,22992,390,0,650,5942,442,13,212,0,1824,190,3573,3695,122,3,48,609,1009,3018,1871,27,62,1376,0,0,0,19,42,823,57,4375,77,1127,44,0,0,94,1994,33,77,1294,0,4246,3771,113,617,64,0,0,8,10,124,0,0,70,45,53,375,186,0,43,1835
Bolaang Mongondow,23485,4881,5844,12760,527,0,910,827,1269,146,112,0,294,0,796,2182,110,9,14,70,381,1505,1500,73,791,3730,0,0,0,270,1393,1125,385,24,81,1308,224,0,0,37,178,52,0,0,12,438,70,227,10,3,10,40,122,911,529,104,1,0,0,50,10,0,0,7,1409
Minahasa,26583,7135,6778,12670,219,14,3689,988,564,375,94,0,302,52,838,1783,163,142,1,248,178,2327,1929,7,2504,3452,0,0,0,336,1346,177,468,20,106,1696,14,0,0,8,91,109,0,0,32,117,34,81,35,0,0,14,21,1734,250,104,16,0,0,2,194,3,2,78,2130
Kepulauan Sangihe,26364,2905,5531,17928,1,0,646,666,476,89,29,0,16,0,982,2114,106,0,0,103,67,1848,1228,65,406,5855,0,0,0,328,3127,2309,20,0,14,20,88,0,0,0,847,355,14,214,46,1374,35,236,17,25,0,12,16,255,25,53,17,0,0,51,105,0,0,0,2470
Kepulauan Talaud,25445,3709,6570,15166,95,2,1953,1292,49,45,0,0,2,0,271,2577,46,3,5,99,265,1744,1832,0,503,8011,0,0,0,73,2001,243,66,0,0,181,17,0,0,0,403,64,0,0,69,2124,168,93,6,26,46,0,0,75,105,12,0,0,0,109,56,0,0,0,1218
Minahasa Selatan,29298,7494,5813,15991,151,6,4290,663,601,766,46,0,92,41,838,2014,234,0,11,81,300,1958,1149,66,1871,6305,0,0,0,112,1261,68,554,6,44,1694,150,0,0,15,513,101,0,0,15,779,0,57,2,0,0,36,53,580,519,78,9,18,0,11,83,7,0,9,2912
Minahasa Utara,35413,6481,8042,20890,359,0,2629,1550,426,20,0,0,116,0,1381,2265,140,0,25,324,291,2841,1851,304,800,5295,0,0,0,119,2546,2529,138,37,55,1739,49,0,0,0,985,637,75,41,42,561,442,469,5,0,9,41,9,672,211,141,0,0,0,12,197,0,0,19,3815
Bolaang Mongondow Utara,21239,3685,5200,12354,1079,80,112,926,1104,0,0,0,30,15,339,2020,104,3,2,87,384,927,1665,8,609,4711,0,0,0,77,900,968,542,24,62,568,12,0,0,41,523,269,5,0,42,384,351,233,354,14,0,6,7,341,588,13,0,0,20,5,80,0,0,5,1209
Siau Tagulandang Biaro,22010,1838,5094,15078,0,0,684,255,422,0,0,0,40,0,437,1689,153,0,0,21,70,1848,1306,7,303,4901,0,0,0,71,2031,411,32,0,0,69,0,0,0,0,951,23,0,17,17,3412,6,422,7,0,0,0,0,172,24,19,0,0,0,9,76,0,0,8,2400
Minahasa Tenggara,27914,5831,5522,16561,206,18,2852,861,615,225,0,0,245,52,757,2031,214,29,2,69,236,1777,1055,109,532,7136,0,0,0,772,1581,450,100,5,113,1981,304,0,0,75,155,72,0,0,20,146,28,169,0,12,28,7,14,476,226,0,0,0,0,2,85,0,8,0,2596
Bolaang Mongondow Selatan,18767,2183,5262,11322,400,0,84,480,811,0,0,0,60,0,348,1784,69,7,14,69,329,773,2003,214,554,5551,0,0,0,86,1589,769,131,4,9,140,4,0,0,0,888,77,0,44,60,154,97,991,26,0,0,0,0,153,164,16,0,8,0,0,10,0,4,0,347
Bolaang Mongondow Timur,21375,3489,5725,12161,354,3,661,901,814,112,0,0,117,20,507,1898,112,13,23,139,636,1290,1568,46,917,4179,0,0,0,80,576,1486,791,80,10,785,79,0,0,17,197,36,0,0,24,817,105,94,36,0,24,137,37,827,388,36,6,10,0,18,86,0,0,0,1200
Kota Manado,34276,6234,8871,19171,313,20,1723,2020,386,69,11,0,323,56,1313,2504,61,0,7,298,211,2610,3022,159,974,5893,0,0,0,203,2651,1939,171,8,11,1518,69,0,0,0,141,51,0,0,13,645,82,321,0,0,0,7,0,253,63,3,0,0,0,12,21,0,0,2,5094
Kota Bitung,29778,5520,7743,16515,31,0,799,3099,88,15,0,0,212,78,1198,2549,28,27,36,152,370,2118,2289,174,709,4177,0,0,0,76,3866,342,268,3,0,1193,12,0,0,3,145,72,0,106,122,2041,73,457,0,0,0,26,33,79,48,11,0,0,2,35,94,6,0,0,3225
Kota Tomohon,33255,8300,8846,16109,187,0,4610,1463,703,46,0,24,133,480,654,2172,189,10,26,135,114,4601,1594,5,448,4749,0,0,0,200,2100,1149,325,54,35,1663,41,0,0,12,43,65,0,10,0,193,88,84,15,3,0,0,13,1809,617,84,7,0,3,34,209,1,22,14,2467
Kota Kotamobagu,27544,4260,9126,14158,199,0,424,841,916,5,0,9,576,161,1129,2223,120,34,12,243,206,3271,2984,33,328,2433,0,0,0,16,1511,923,104,20,2,587,472,0,0,0,6,86,0,0,16,1283,187,223,67,2,77,46,31,2100,592,30,3,0,0,31,171,0,0,20,3119
Banggai Kepulauan,18214,1938,3430,12846,167,17,161,441,765,95,0,0,9,13,270,1510,78,15,24,107,339,531,804,21,707,2495,0,0,0,154,4434,931,164,0,0,0,0,0,0,0,647,1018,17,14,40,1511,20,335,54,18,0,18,5,227,0,110,0,0,0,0,31,0,0,6,597
Banggai,18773,2358,5079,11336,157,0,184,832,495,12,0,0,103,7,568,1853,177,37,2,233,680,1405,645,47,404,4163,0,0,0,65,2142,460,218,93,4,233,19,0,0,50,385,95,0,2,4,1820,58,332,48,4,0,9,3,132,87,39,7,0,0,5,80,0,7,1,771
Morowali,27989,3763,7376,16850,544,0,46,1211,1177,8,0,0,11,0,766,2560,102,7,0,193,974,1250,2151,138,913,5201,0,0,0,150,1550,2097,418,277,134,103,6,0,0,65,2212,758,10,78,17,410,988,1000,219,68,0,41,38,175,266,34,0,0,4,0,57,8,40,0,426
Poso,23826,5127,5970,12729,156,2,1397,1050,1066,70,0,0,246,31,1109,2210,145,7,2,61,411,1751,1095,288,569,2712,0,0,0,159,4327,159,111,710,198,1222,128,0,0,241,123,157,0,5,0,166,33,153,0,8,0,0,13,85,470,80,0,0,0,56,249,0,0,18,1146
Donggala,15697,2022,4041,9634,145,0,140,631,547,28,0,0,251,12,268,1679,203,10,8,7,728,541,850,16,849,2305,0,0,0,121,2783,423,613,443,36,71,25,0,0,0,122,53,0,0,0,523,206,217,67,7,0,127,38,157,451,118,4,1,0,46,258,5,0,5,409
Toli-Toli,20249,3227,4767,12255,270,56,130,803,494,72,0,0,649,0,753,1803,129,112,16,96,733,511,1202,164,350,2124,0,0,0,187,1708,808,328,354,43,140,12,0,0,8,461,316,17,11,0,3155,346,323,81,12,24,11,4,16,215,66,2,17,5,8,333,0,0,0,1120
Buol,18205,2859,3490,11856,206,0,134,1051,1145,4,0,0,42,15,262,1741,176,62,0,56,452,298,541,165,249,2656,0,0,0,255,2884,1194,168,260,92,180,93,0,0,7,256,49,0,0,0,1834,204,21,140,25,8,29,18,5,188,126,1,0,5,3,127,0,0,7,1021
Parigi Moutong,16163,1750,4682,9731,83,28,343,518,489,0,0,0,43,11,235,1528,73,81,9,256,619,381,1719,16,308,1914,0,0,0,72,2969,1194,261,372,7,242,9,0,0,13,535,220,0,0,0,210,132,487,49,0,26,23,3,22,407,84,12,12,4,40,44,0,6,0,362
Tojo Una-Una,18956,3640,4118,11198,646,0,77,851,968,56,1,0,77,0,964,1555,251,3,25,45,535,531,1063,110,743,3161,0,0,0,130,3480,577,249,23,6,20,0,0,0,0,291,296,0,0,0,925,43,395,34,14,0,23,3,6,84,93,0,13,0,48,215,0,13,1,1055
Sigi,18659,3643,5953,9063,404,0,509,948,766,198,0,0,248,38,532,2263,172,24,8,52,709,960,1547,218,1056,1611,0,0,0,34,1151,329,241,1421,62,791,128,0,0,38,194,0,0,0,0,279,134,224,0,0,18,87,21,130,875,71,3,0,4,211,134,143,1,21,707
Banggai Laut,18868,1671,3881,13316,512,0,12,317,466,11,0,0,44,0,309,2113,95,1,0,96,382,514,667,14,669,2983,0,0,0,123,882,3500,112,0,5,6,0,0,0,38,797,1014,14,21,32,1785,109,829,58,0,0,27,0,46,31,0,0,0,0,0,54,0,0,0,850
Morowali Utara,25498,3947,6310,15241,176,0,870,776,1610,106,0,0,33,0,376,2218,262,154,7,65,642,1489,1373,100,853,1897,0,0,0,54,446,5699,618,291,877,888,40,0,0,63,188,442,0,259,8,1298,138,342,320,33,21,149,47,24,373,80,7,4,24,0,45,0,7,38,521
Kota Palu,31026,7803,9055,14168,892,0,149,2540,234,21,32,0,430,26,3479,3079,77,2,2,808,746,2092,1910,339,1289,1385,0,0,0,68,4664,344,418,1234,29,354,7,0,0,0,238,174,0,34,8,790,766,396,52,10,17,25,24,84,224,195,65,16,34,210,191,7,0,0,2105
Kepulauan Selayar,26172,4059,5737,16376,172,0,0,1082,654,41,0,0,221,0,1889,2555,282,13,0,65,707,706,1258,151,203,2294,0,0,0,103,376,917,574,1233,5,15,15,0,0,52,1577,1642,10,3,0,3901,985,578,128,23,25,0,1,18,136,4,0,0,0,0,209,0,22,50,1480
Bulukumba,20179,2593,4755,12831,263,0,0,1048,727,17,0,0,129,8,401,2199,130,31,0,40,637,1110,548,60,137,2031,0,0,0,73,817,1250,476,1841,45,236,7,0,0,9,688,171,64,12,11,2553,957,452,78,66,50,19,4,116,265,28,9,22,5,2,121,0,0,2,351
Bantaeng,19712,2420,4603,12689,9,3,0,1098,627,132,0,0,97,22,432,2338,71,55,38,19,723,554,760,45,55,396,0,0,0,88,775,1200,876,2380,47,26,23,0,0,1,480,178,0,0,33,3758,602,179,88,24,196,0,1,7,661,52,0,74,0,0,198,1,0,0,345
Jeneponto,18058,3209,4466,10383,67,7,0,839,1467,465,0,0,70,0,294,2275,28,34,0,47,847,408,710,115,208,828,0,0,0,61,482,802,640,2642,5,254,34,0,0,12,335,110,3,189,21,1901,813,104,90,35,78,7,0,22,426,24,0,138,0,14,68,3,0,0,242
Takalar,20636,2576,5002,13058,297,0,0,1019,375,0,0,55,76,0,754,1808,62,216,36,185,1012,571,976,137,108,809,0,0,0,12,667,863,423,2246,44,237,98,0,0,7,462,186,0,7,1,2768,765,262,157,83,49,0,5,46,237,42,8,28,4,9,232,3,5,13,2280
Gowa,20437,3785,5136,11516,128,0,0,1827,490,217,0,0,213,2,908,2341,70,56,9,68,787,833,880,92,190,1103,0,0,0,28,246,975,872,3078,88,164,402,0,0,65,72,185,62,51,88,1827,374,150,40,3,81,43,39,177,311,41,2,55,10,31,203,0,0,18,632
Sinjai,19362,2910,4255,12197,296,0,0,793,478,32,0,0,115,0,1196,1872,117,23,0,18,706,602,852,66,275,1320,0,0,0,33,1256,600,1367,1220,15,123,9,0,0,14,95,159,0,70,0,3178,680,441,129,29,3,0,25,25,612,15,4,52,0,1,134,0,2,5,581
Maros,23053,3617,6644,12792,383,0,11,1665,214,57,0,0,476,15,796,2698,80,240,29,206,990,874,1526,0,350,843,0,0,0,34,383,1141,878,3551,105,834,228,0,0,39,157,160,0,51,16,1585,774,184,70,60,115,17,45,48,224,59,8,50,0,6,287,0,12,18,810
Pangkajene dan Kepulauan,26298,3476,6595,16227,178,0,0,1833,220,69,0,29,327,12,808,2661,112,417,31,62,1076,953,1197,85,110,756,0,0,0,12,153,2062,1004,5285,82,1241,276,0,0,26,109,183,48,26,10,1770,1156,254,243,13,86,40,8,35,204,27,8,71,5,10,279,2,0,19,724
Barru,20005,1898,4548,13559,49,0,0,951,409,8,0,0,97,0,384,2102,63,69,17,16,608,719,919,34,221,1036,0,0,0,21,236,4110,945,2432,45,150,22,0,0,6,254,716,0,2,0,1364,778,400,32,26,28,43,9,84,310,42,16,35,25,0,156,0,0,8,228
Bone,17510,1580,4830,11100,156,2,0,577,265,33,0,0,70,0,477,2146,59,59,10,81,564,993,856,60,38,2088,0,0,0,1,67,852,612,2079,81,185,76,0,0,10,203,190,7,105,0,2320,620,290,113,13,59,14,1,341,303,27,23,28,12,3,122,18,0,4,233
Soppeng,19345,2308,5673,11364,276,0,14,1312,152,180,0,0,54,0,320,2455,93,88,19,21,509,1265,920,305,41,1403,0,0,0,10,150,503,94,3090,631,814,184,0,0,9,31,32,10,10,0,1557,771,129,150,0,19,12,0,180,141,27,105,27,30,18,767,84,3,47,326
Wajo,23720,3217,6066,14437,110,0,0,1914,290,92,24,0,307,3,477,2929,42,284,4,120,903,898,872,15,45,1686,0,0,0,46,115,324,83,3736,539,1881,419,0,0,0,188,54,42,8,7,2366,1237,67,158,2,17,0,33,199,264,14,102,121,38,14,367,59,0,7,244
Sidenreng Rappang,25429,4073,6512,14844,38,5,0,2409,370,462,0,0,169,14,606,2660,108,317,27,24,816,487,1892,180,162,2074,0,0,0,46,747,331,369,3761,440,256,1420,0,0,83,66,24,1,0,2,960,1651,212,53,0,32,46,16,475,296,138,104,102,40,20,448,34,11,7,579
Pinrang,21848,2304,5034,14510,79,0,0,1331,142,69,0,0,270,0,413,1981,9,180,15,48,835,521,1379,65,156,2156,0,0,0,103,49,640,327,3875,287,592,376,0,0,13,302,26,0,103,25,2495,1316,48,88,12,17,0,12,237,394,0,0,120,9,16,338,50,0,13,471
Enrekang,16450,1992,5347,9111,217,0,0,870,544,0,0,0,54,0,307,2589,84,156,0,36,576,684,1173,50,673,1116,0,0,0,0,232,209,210,2428,28,203,195,0,0,18,5,108,0,0,0,1989,483,4,0,0,0,5,3,155,692,20,16,47,0,22,632,0,0,12,279
Luwu,20060,3900,4825,11335,573,14,260,1771,625,349,11,0,98,0,199,1816,63,135,32,26,664,794,1256,39,192,1918,0,0,0,17,45,856,755,2758,132,404,230,0,0,19,205,334,0,0,93,1119,671,167,79,56,147,0,4,89,719,23,9,91,4,6,95,5,4,19,262
Tana Toraja,26519,9468,5955,11096,110,13,3971,1011,3072,582,96,0,34,34,545,1581,203,354,4,1,290,1700,1810,11,132,454,0,0,0,0,87,267,284,3684,231,263,1466,0,0,472,26,38,0,0,0,1123,141,117,0,7,15,23,27,22,1467,43,7,156,32,117,80,1,3,3,440
Luwu Utara,20942,2856,5666,12420,177,0,267,1056,597,85,48,0,83,42,501,1971,32,49,0,304,786,1246,1150,127,24,1643,0,0,0,13,266,1465,260,2926,428,786,275,0,0,63,63,61,0,0,0,1507,834,71,53,39,25,3,0,2,669,38,2,18,11,8,109,4,0,4,774
Luwu Timur,27814,5417,7597,14800,790,0,418,1968,560,141,43,29,296,72,1100,2931,47,90,11,446,1189,1863,939,79,195,2157,0,0,0,65,86,1211,723,2941,216,589,466,0,0,52,233,252,0,0,43,1884,1027,209,72,62,204,6,9,75,455,13,0,158,3,29,332,12,0,8,1208
Toraja Utara,26025,9470,6682,9873,7,18,5128,467,1813,1216,227,0,106,2,486,1782,149,93,4,75,102,2904,1573,0,85,555,0,0,0,17,201,271,435,3254,60,240,1059,0,0,567,29,0,0,0,7,1850,206,76,0,1,13,0,12,17,770,0,0,17,0,27,36,0,0,0,153
Kota Makasar,36062,7461,9262,19339,787,62,216,2928,269,44,136,0,559,116,2344,3116,119,74,108,513,759,2666,1699,207,719,2264,0,0,0,78,594,1649,1335,3572,80,388,179,0,0,30,655,754,7,27,35,2408,1729,772,316,71,145,44,8,40,277,29,20,67,5,46,259,27,3,0,1426
Kota Parepare,28184,5460,5879,16845,219,0,1,2017,119,448,105,0,523,10,2018,2544,44,92,14,207,798,1064,1048,68,276,2655,0,0,0,95,140,442,457,2452,22,139,597,0,0,67,562,282,14,7,80,3071,1692,368,124,28,1,0,3,501,486,22,8,156,54,62,310,9,0,15,1924
Kota Palopo,27575,3808,8034,15733,289,0,384,1482,448,9,0,10,124,2,1060,2715,90,55,5,272,954,2449,1385,110,261,1729,0,0,0,94,2354,1195,1406,2458,57,218,114,0,0,5,469,157,0,0,77,2547,1362,198,114,12,113,3,40,2,245,11,0,108,5,7,80,1,0,0,552
Buton,14131,1332,3646,9153,151,5,89,323,325,16,0,0,12,0,411,1542,68,0,0,70,474,865,593,34,603,2998,0,0,0,185,910,411,78,24,4,18,0,0,0,23,455,572,12,0,0,2313,64,375,52,22,6,12,66,43,60,1,0,0,0,2,18,11,12,8,398
Muna,17591,1335,4964,11292,147,0,43,370,473,66,0,0,23,0,213,1784,239,10,0,121,628,1233,948,0,307,946,0,0,0,48,644,3504,319,147,19,33,0,0,0,0,198,71,0,39,0,3843,424,222,176,2,47,42,3,9,63,11,4,2,0,0,300,0,0,0,176
Konawe,24222,4721,5918,13583,1208,6,29,1912,694,70,0,127,192,15,468,2433,137,164,4,37,1096,973,1041,34,1034,3146,0,0,0,135,178,843,524,1626,661,1238,163,0,0,27,64,54,0,34,8,2158,432,524,0,78,31,57,21,218,353,54,6,2,34,17,654,6,0,10,227
Kolaka,28019,3731,7336,16952,496,7,58,1231,1075,10,0,0,140,123,591,2112,69,46,3,3,1360,1202,2540,2,667,3022,0,0,0,46,518,2447,792,2344,74,506,157,0,0,60,468,481,9,0,12,2275,1037,625,211,33,146,102,4,64,549,54,2,41,0,9,215,26,1,5,617
Konawe Selatan,18869,2969,4935,10965,134,0,116,1020,1229,137,0,0,100,5,228,2021,80,42,0,48,1236,412,1097,0,483,2509,0,0,0,12,285,1997,457,991,339,265,44,0,0,32,59,72,0,0,0,2034,502,366,39,9,23,57,13,13,145,23,3,0,21,0,342,1,0,18,294
Bombana,22462,2366,5581,14515,177,0,30,648,514,0,4,0,49,0,944,2039,97,102,3,415,787,547,1507,84,440,1657,0,0,0,51,524,734,125,1217,125,112,4,0,0,27,2181,544,16,311,5,2764,1284,179,441,2,21,23,0,33,46,30,2,19,0,6,566,47,0,16,1403
Wakatobi,22002,2417,4656,14929,45,0,0,223,1922,64,0,0,8,0,155,1688,73,17,17,43,614,1239,965,0,988,3382,0,0,0,245,944,942,58,0,0,0,0,0,0,9,2619,2300,20,4,0,2718,18,557,49,59,28,15,0,0,4,12,0,0,0,0,88,0,6,0,852
Kolaka Utara,26330,3317,6680,16333,192,0,18,1059,852,226,116,0,276,0,578,2255,135,26,3,27,1162,92,2979,0,638,3040,0,0,0,53,995,1267,275,3082,132,689,28,0,0,0,736,275,0,23,26,1856,1510,276,90,47,102,35,2,4,630,163,73,92,4,5,183,9,0,30,601
Buton Utara,18446,1423,4559,12464,0,0,15,336,717,47,0,0,23,0,285,1814,69,13,0,124,648,436,1092,363,238,2108,0,0,0,15,2090,1787,134,80,0,0,0,0,0,36,1147,841,8,9,0,1937,563,468,320,110,2,4,12,215,29,23,0,0,0,0,73,0,3,0,450
Konawe Utara,28767,4537,7633,16597,590,1,39,1597,817,12,63,12,102,5,1299,2935,78,16,0,150,1255,1031,2162,6,508,2919,0,0,0,126,416,2211,796,1617,249,903,92,0,0,122,141,385,0,86,33,2252,679,843,266,266,2,61,42,92,255,18,13,10,60,4,658,0,28,65,887
Kolaka Timur,20066,3480,4283,12303,658,0,109,1232,957,48,23,0,76,85,292,1907,159,74,55,14,950,126,907,91,396,3304,0,0,0,5,296,178,429,2173,932,408,62,0,0,69,0,19,0,0,25,2267,228,121,0,3,59,46,174,33,493,55,6,5,2,3,214,11,4,3,676
Konawe Kepulauan,21523,1702,5365,14456,159,7,5,559,717,72,0,0,42,18,123,2328,43,16,0,185,787,134,1872,0,404,3176,0,0,0,167,2095,1476,153,19,4,0,7,0,0,0,631,265,5,0,53,3580,563,1525,161,59,7,6,0,21,24,15,13,1,0,4,276,2,9,0,139
